,abstract,lead_paragraph,headline,keywords,sentiment
27,"Pete Buttigieg rose to prominence, and viability as a presidential candidate, as the mayor of South Bend, Ind. Now that tenure has ended.","“Mayor Pete” is, technically, no longer Mayor Pete.","Term Over, Mayor Pete Is No Longer A Mayor","['Buttigieg, Pete (1982- )', 'Presidential Election of 2020', 'Elections, Mayors', 'United States Politics and Government', 'South Bend (Ind)', 'Mueller, James (1982- )']",0.0025260968083686106
29,"As demonstrations over a citizenship law sweep India, more accounts are emerging of mistreatment and harsh tactics by police and state officials.","NAGINA, India — The teens were trapped.",Police Are Accused of Abusing Muslims as Demonstrations Sweep India,"['India', 'Uttar Pradesh State (India)', 'Adityanath, Yogi', 'Modi, Narendra', 'Muslims and Islam', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'Citizenship and Naturalization', 'Hinduism', 'Politics and Government']",-0.31697840167803115
30,"Pete Buttigieg rose to prominence, and viability as a presidential candidate, as the mayor of South Bend, Ind. Now that tenure has ended.","“Mayor Pete” is, technically, no longer Mayor Pete.","Term Over, Mayor Pete Is No Longer A Mayor","['Buttigieg, Pete (1982- )', 'Presidential Election of 2020', 'Elections, Mayors', 'United States Politics and Government', 'South Bend (Ind)', 'Mueller, James (1982- )']",0.0025260968083686106
32,A meeting with President Volodymyr Zelensky of Ukraine would have been the first for a top Trump official since the impeachment inquiry began.,"WASHINGTON — Secretary of State Mike Pompeo on Wednesday canceled a weeklong trip to Ukraine and four other nations to stay in Washington and monitor tensions in Iraq after protesters broke into the United States Embassy compound in Baghdad and wrecked parts of it, the State Department said.",Pompeo Cancels Ukraine Trip Over Iraq,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Pompeo, Mike', 'Zelensky, Volodymyr', 'Ukraine', 'State Department', 'United States International Relations', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Iraq', 'Trump, Donald J']",0.236400246400618
34,"In Galicia, where the climate and the housing market are cooler, prices remain attractive to native and foreign buyers alike.","This 19th-century home on three acres is in A Cañiza, a municipality in the Galicia region of northwest Spain, about 10 miles north of the Portuguese border. The house was rebuilt in 2006 as an eight-bedroom, 10-bathroom villa with two one-bedroom cottages — a total of 10,226 square feet of living space. The property, which has a saltwater swimming pool, gardens and balcony views of the Galician mountains and northern Portugal, has been used as an inn.",Gaze Upon a Lush Valley From a 19th-Century Villa,"['Real Estate and Housing (Residential)', 'Spain', 'Galicia (Spain)', 'Portugal', 'Vigo (Spain)']",0.20413546329951457
35,A sprawling duplex there sold for $92.7 million; it was the second-biggest sale over all in 2019.,The final month of 2019 ended almost the same way the year began: with an oversize sale at 220 Central Park South.,The Year Ended With Another Hefty Sale at a Manhattan Tower,"['Real Estate and Housing (Residential)', 'Vornado Realty Trust', 'Stern, Robert AM, Architects LLP', 'Griffin, Kenneth C', 'Legere, John J', 'Manhattan (NYC)']",0.137008473481753
36,The F.B.I. says real estate transactions are a growing target of wire fraud. Here are some ways to fight back.,"Justin Rubinstein, a licensed associate real estate broker at Compass, was working with a buyer to close on a one-bedroom condo on the Williamsburg waterfront in June of 2016. As the deal was being finalized, the client received an email — ostensibly from his lawyer — providing specific instructions about where to wire a $213,500 down payment.",How to Protect Yourself From Real Estate Scams,"['Real Estate and Housing (Residential)', 'Computer Security', 'Cyberattacks and Hackers', 'Real Estate Brokers', 'Frauds and Swindling']",0.08046266454992934
38,The head of a group that detained migrants at gunpoint in New Mexico faces up to 10 years in prison.,"The leader of a right-wing militia that was detaining migrant families at gunpoint near the border in southern New Mexico pleaded guilty this week to a federal gun charge, Justice Department officials said.",Leader of Right-Wing Border Militia Pleads Guilty to Gun Charge,"['Illegal Immigration', 'Gun Control', 'Firearms', 'Fringe Groups and Movements', 'Immigration and Emigration', 'Border Patrol (US)', 'Justice Department', 'Southern Poverty Law Center', 'United Constitutional Patriots', 'Hopkins, Larry Mitchell', 'Trump, Donald J', 'Balderas, Hector H Jr', 'United States', 'New Mexico']",-0.1788639139458518
39,Interested in the southernmost continent? Here’s a roundup of some of the new ships and itineraries planned for the bucket-list destination.,"As the number of travelers cruising Antarctica swells, polar expedition companies are launching sustainable vessels designed for these bucket-list trips.",Set Sail for Antarctica,"['ANTARCTIC REGIONS', 'Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice', 'Hurtigruten', 'Lindblad Expeditions', 'National Geographic', 'Quark Expeditions']",0.028624284934376798
40,The top Republican in the New York State Assembly said he would resign his leadership position after he admitted to driving while drunk.,"Last month, the top Republican in the New York State Assembly, Brian M. Kolb, published a guest column in a local newspaper warning against the dangers of drunken driving, especially during the holidays, noting that “tragedy can be only one bad decision away.”",Republican Warns of D.W.I. Then He Is Charged With It.,"['New York State', 'State Legislatures', 'Kolb, Brian M', 'Drunken and Reckless Driving', 'Tests (Sobriety)', 'VICTOR (NY)', 'New Year']",-0.10185827889281118
41,Marilyn Stasio’s latest column features a batch of escaped prisoners who scatter across the country and two eccentric sleuths digging up the past in Florida.,"Thomas Perry pulls the old switcheroo in A SMALL TOWN (Mysterious Press, $26). Instead of sending a single endangered innocent on a desperate race to escape some nefarious villain, he lets a group of villains loose on a defenseless town and sends a lone avenger to chase them down. Ever the master of detail, Perry first takes us to the Weldonville Federal Penitentiary in rural Colorado to marvel at the ingenuity of a dozen prisoners who escape by killing a dozen guards. But that’s not the worst of it. After dressing in the guards’ street clothes, the escapees allow more than 1,000 other prisoners to descend on the town “like an invading army” to kill and rape and burn the place to the ground. In effect, “they murdered Weldonville.” Two years later, Lt. Leah Hawkins is put on leave from the Colorado Bureau of Investigation and unofficially licensed to hunt and kill the 12 ringleaders, now scattered across the country.",And Then There Were None,"['Books and Literature', 'A Small Town (Book)', 'Perry, Thomas', 'When Old Midnight Comes Along (Book)', 'Estleman, Loren D', 'Naked Came the Florida Man (Book)', 'Dorsey, Tim', 'The Playground (Book)', 'Shemilt, Jane']",-0.35936865462681117
42,"“I thought that I had discovered that I loved science fiction,” says Hass, whose new collection is “Summer Snow.” Then he “read a lot of it and discovered that I just loved Ursula Le Guin.”","“I thought that I had discovered that I loved science fiction,” says Hass, whose new collection is “Summer Snow.” Then he “read a lot of it and discovered that I just loved Ursula Le Guin.”",Robert Hass,"['Books and Literature', 'Writing and Writers', 'Hass, Robert I', 'Poetry and Poets']",0.015755376556734757
43,"Away from the seaside resorts, the capital of the Dominican Republic is alive and in transition, with music, dance, delicious food and local crafts around every corner.","Walking the vibrant streets of Santo Domingo, the Dominican Republic’s capital, can be frustrating for the beach-seeking tourist — you’re tantalized by the sight of the sea but the best beaches, with that quintessential stretch of pristine sand, are miles away. But history, culture and nature abound in this cosmopolitan Caribbean city, where Christopher Columbus landed in 1492. The oldest church and first paved road in the Americas are both in Santo Domingo’s Zona Colonial, but so are plenty of new businesses that reflect an evolving artistic and activist presence. These days you can find: Mamey, an L.G.B.T.Q.-friendly cultural space featuring a bookstore, gallery and theater; Microteatro, which delivers 15-minute plays about Dominican life; and Miss Rizos Salón, a hair parlor that often hosts events to fight the stigma against kinky or curly hair. There are also pockets of nature amid the bustle. In Santo Domingo Este, a short drive from the city center, is an underground lake where Taíno women once bathed. And in Santo Domingo and elsewhere, an influx of immigrants, including Haitian, Chinese and Venezuelan, have left their mark in recent decades — most noticeable, perhaps, on the culinary scene, bringing everything from arepas to dumplings. Santo Domingo is a city alive and in transition, the sea a mere backdrop to its many charms.","Santo Domingo, Dominican Republic","['Travel and Vacations', 'Santo Domingo (Dominican Republic)']",0.060726013575616404
45,"In Dispatches, our international correspondents tell highly visual stories that say more about the places they cover than the day’s news.","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",A ‘Different Lens’ for World News,"['News and News Media', 'New York Times']",0.26179956762923484
47,The  administration will propose that federal agencies be allowed to disregard climate change when  assessing the environmental effects of  major  projects.,"WASHINGTON — Federal agencies would no longer have to take climate change into account when they assess the environmental impacts of highways, pipelines and other major infrastructure projects, according to a Trump administration plan that would weaken the nation’s benchmark environmental law.",Trump Moves to Weaken Environmental Shield,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Infrastructure (Public Works)', 'Labor and Jobs', 'Trump, Donald J']",0.022791394755785788
48,"Successive governments have failed to address the risks posed by aging buildings and shoddy construction, leaving millions vulnerable.","DURRES, Albania — Still bleeding, the gash on his hand covered in dirty gauze, Xhafer Ahmetaj surveyed the mountain of rubble where his friends had been buried after an earthquake struck.",Quake Exposed Unpreparedness of the Balkans,"['Earthquakes', 'Balkan States', 'ALBANIA', 'Bulgaria', 'Romania', 'ACCIDENTS AND SAFETY', 'Buildings (Structures)', 'Engineering and Engineers', 'Sofia (Bulgaria)', 'Bucharest (Romania)']",-0.11562206728153537
50,"In Galicia, where the climate and the housing market are cooler, prices remain attractive to native and foreign buyers alike.","This 19th-century home on three acres is in A Cañiza, a municipality in the Galicia region of northwest Spain, about 10 miles north of the Portuguese border. The house was rebuilt in 2006 as an eight-bedroom, 10-bathroom villa with two one-bedroom cottages — a total of 10,226 square feet of living space. The property, which has a saltwater swimming pool, gardens and balcony views of the Galician mountains and northern Portugal, has been used as an inn.",Gaze Upon a Lush Valley From a 19th-Century Villa,"['Real Estate and Housing (Residential)', 'Spain', 'Galicia (Spain)', 'Portugal', 'Vigo (Spain)']",0.20413546329951457
51,A sprawling duplex there sold for $92.7 million; it was the second-biggest sale over all in 2019.,The final month of 2019 ended almost the same way the year began: with an oversize sale at 220 Central Park South.,The Year Ended With Another Hefty Sale at a Manhattan Tower,"['Real Estate and Housing (Residential)', 'Vornado Realty Trust', 'Stern, Robert AM, Architects LLP', 'Griffin, Kenneth C', 'Legere, John J', 'Manhattan (NYC)']",0.137008473481753
56,The  administration will propose that federal agencies be allowed to disregard climate change when  assessing the environmental effects of  major  projects.,"WASHINGTON — Federal agencies would no longer have to take climate change into account when they assess the environmental impacts of highways, pipelines and other major infrastructure projects, according to a Trump administration plan that would weaken the nation’s benchmark environmental law.",Trump Moves to Weaken Environmental Shield,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Infrastructure (Public Works)', 'Labor and Jobs', 'Trump, Donald J']",0.022791394755785788
57,"On the first day of a new legislative session, Senate leaders indicated they had made no progress in resolving their logjam over how to proceed.","WASHINGTON — Senate leaders wrangled on Friday over the terms of President Trump’s impeachment trial, deepening their impasse and throwing the start date further into doubt amid disputes over whether to call witnesses or introduce documentary evidence.",No Progress on Rules for an Impeachment Trial,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Constitution (US)', 'Impeachment', 'Senate', 'McConnell, Mitch', 'Schumer, Charles E', 'Trump, Donald J']",-0.22177468370226883
60,"Valuations are high, but investors are still willing to hold, because of a visceral emotion driven by President Trump.","The United States stock market is trading at a very high level today. The data show where the market stands, but don’t tell us how it got there. For an explanation of that, we need to take into account a factor that sound very unscientific: “animal spirits,” sometimes called “gut feelings.”",Trust Your Gut? Use Your Head,"['Stocks and Bonds', 'United States Economy', 'Trump, Donald J', 'United States Politics and Government']",0.42360697483934756
62,"Tangy and juicy, filled with seasoned herbs and hearty leaves, jingalov hats are a joy to eat.","Rusana Sayadyan threw down a ball of dough the size of a tangerine and rolled it out into a big, floppy disc, lifting the edges to spin it around. Thirteen years ago, she was an apprentice at a bakery in Armenia, learning to make jingalov hats — the football-shaped flatbreads stuffed with a dozen varieties of herbs and green leaves. Now she was here, in Los Angeles — an expert — teaching someone else. She pushed back her puffy white bonnet with the back of her arm and mixed a handful of greens with salt, oil and paprika. After she scooped the mixture onto the dough, she used her fingers to pinch it shut, sealing the greens inside, then flipped the disc onto a hot griddle.",These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,"['Cooking and Cookbooks', 'ARMENIA', 'Recipes']",0.3302206792334819
64,"Successive governments have failed to address the risks posed by aging buildings and shoddy construction, leaving millions vulnerable.","DURRES, Albania — Still bleeding, the gash on his hand covered in dirty gauze, Xhafer Ahmetaj surveyed the mountain of rubble where his friends had been buried after an earthquake struck.",Quake Exposed Unpreparedness of the Balkans,"['Earthquakes', 'Balkan States', 'ALBANIA', 'Bulgaria', 'Romania', 'ACCIDENTS AND SAFETY', 'Buildings (Structures)', 'Engineering and Engineers', 'Sofia (Bulgaria)', 'Bucharest (Romania)']",-0.11562206728153537
65,"The teenager, accused in the death of the Barnard student, exhibited troubling behavior at a detention center, New York City lawyers said.",A Family Court judge on Thursday rejected a request from a lawyer for a 13-year-old charged in the killing of the Barnard College student Tessa Majors that the teenager be allowed to go home until his trial begins.,A 13-Year-Old Suspect In a Student’s Murder  Will Remain in Custody,"['Murders, Attempted Murders and Homicides', 'Majors, Tessa (d 2019)', 'Barnard College']",-0.7788899847640084
66,"At the halfway mark of the season, five head coaches have been fired, and the St. Louis Blues are thriving as the reigning champions.","As December came to a close, the N.H.L. season hit its midpoint. For some teams, things reached a breaking point: Three more head coaches were fired in the past month. For others, December was a high point: The Pittsburgh Penguins, the Toronto Maple Leafs and the Tampa Bay Lightning were among the teams who had their best month of the season. Consistently productive performers and breakout talents alike shined as the calendar year came to an end, and the sport’s future was on display at the International Ice Hockey Federation’s world junior championships.",Assessing the Season as It Crosses Center Ice,"['Hockey, Ice', 'St Louis Blues', 'Columbus Blue Jackets']",0.34965243633256093
67,“Ilana Glazer: The Planet is Burning” hits Amazon. And the 1994 adaptation of “Little Women” airs on Showtime Showcase.,"ILANA GLAZER: THE PLANET IS BURNING Stream on Amazon. The coming-of-age New York sitcom “Broad City” made stars of its creators, Ilana Glazer and Abbi Jacobson. About a year after wrapping up that show, Glazer is taking a solo turn with this stand-up special, which includes sharp observations on anti-Semitism, sexism and homophobia. She also discusses married life and, briefly, the Alfred Hitchcock classic “Rear Window” (“It was fine,” she decrees, before doing a bit on Grace Kelly’s voice).",What’s On Friday,"['Television', 'Movies']",0.026677729628194508
68,"Stern was a visionary who understood that pro athletes were seeking more power in their sports. While other commissioners tried to stop the effort, he used it to his advantage.",David Stern came to power in the N.B.A. in the early 1980s at a pivot point for professional sports in the United States.,The World Bought the Player-First Vision That Stern Was Selling,"['Basketball', 'National Basketball Assn', 'Stern, David Joel (1942- )']",0.5890345475989635
69,A Brooklyn wine bar and restaurant is one of a handful of establishments in different cities that are trying to eliminate waste from their premises.,Garbage is inevitable in the restaurant and bar business. Kitchen employees toss onion skins and meat fat into the wastebasket almost instinctively. Once-used plastic wrap and slips guarding the linens find their way into black bags for trash-day pickup. Plastic bags are ordered by the bundle and then often discarded after customers use them to take leftovers home. ,A Restaurant With No Leftovers,"['Waste Materials and Disposal', 'Recycling of Waste Materials', 'Restaurants', 'Food', 'Brooklyn (NYC)', 'Sustainable Living', 'Rhodora (Brooklyn, NY, Restaurant)', 'Fort Greene (Brooklyn, NY)', 'She Wolf (Brooklyn, NY, Bakery)', 'Oberon Group']",-0.09441110622242696
70,"Ms. Warren’s fund-raising haul for the last three months of the year represented a slight dip, though she ended the quarter on a high note.","Senator Elizabeth Warren of Massachusetts raised more than $21.2 million for her presidential campaign in the fourth quarter of 2019, her team announced on Friday, a slight dip from the previous quarter and behind three of her top rivals for the Democratic nomination.",Warren Says She Raised $21.2 Million In Quarter,"['Warren, Elizabeth', 'Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']",0.18485528978330057
72,"The commander helped direct wars in Iraq, Syria, Lebanon and Yemen, and he became the face of Iran’s efforts to build a regional bloc of Shiite power.","He changed the shape of the Syrian civil war and tightened Iran’s grip on Iraq. He was behind hundreds of American deaths in Iraq and waves of militia attacks against Israel. And for two decades, his every move lit up the communications networks — and fed the obsessions — of intelligence operatives across the Middle East. ",A Mastermind Of Iran’s Clout In the Mideast,"['Suleimani, Qassim', 'Targeted Killings', 'Quds Force', 'Islamic Revolutionary Guards Corps', 'Iran', 'Terrorism', 'Defense and Military Forces', 'Iraq War (2003-11)', 'Shiite Muslims', 'Espionage and Intelligence Services', 'Hezbollah', 'Mugniyah, Imad', 'Islamic State in Iraq and Syria (ISIS)', 'Iraq', 'Lebanon', 'Syria', 'Israel', 'Deaths (Obituaries)', 'Middle East']",0.056084299912520674
73,"Suleimani was planning attacks on Americans across the region, leading to an airstrike in Baghdad, the Pentagon statement said. Iran’s supreme leader called for vengeance.","WEST PALM BEACH, Fla. — Iran’s top security and intelligence commander was killed early Friday in a drone strike at Baghdad International Airport that was authorized by President Trump, American officials said.",U.S. Strike in Iraq Kills Commander Of Iranian Force,"['Iran', 'Suleimani, Qassim', 'Defense and Military Forces', 'Quds Force', 'Islamic Revolutionary Guards Corps', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings', 'Drones (Pilotless Planes)', 'Trump, Donald J', 'Baghdad International Airport (Iraq)', 'Iraq', 'Popular Mobilization Forces (Iraq)']",-0.3462362716890566
74,"The actor, fashion designer and vintner talked about his role in the sequel season to “The Young Pope” — a role that was inspired by Malkovich himself.","LOS ANGELES — Oddballs, schemers and psychopaths: In the course of his long career, John Malkovich has convincingly played them all. But whether this makes him an unusual, or unusually perfect, choice for the role of Supreme Pontiff in HBO’s “The New Pope,” he would rather not consider.",John Malkovich Ascends to the Throne,"['The New Pope (TV Program)', 'The Young Pope (TV Program)', 'Home Box Office', 'Television', 'Malkovich, John']",0.19939316799021442
